Franklin County,Florida,Gulf of Mexico,"11,901",29.81168359,-84.80045659
Gulf County,Florida,Gulf of Mexico,"15,990",29.90862112,-85.26100628
Hernando County,Florida,Gulf of Mexico,"182,835",28.55617085,-82.46848951
Hillsborough County,Florida,Gulf of Mexico,"1,376,238",27.90622784,-82.34691615
Indian River County,Florida,Atlantic,"151,563",27.69639085,-80.57408961
Jefferson County,Florida,Gulf of Mexico,"13,906",30.42345821,-83.90047448
Lee County,Florida,Gulf of Mexico,"722,336",26.57568966,-81.91545273
Levy County,Florida,Gulf of Mexico,"39,961",29.28220558,-82.7886132
Manatee County,Florida,Gulf of Mexico,"375,888",27.47751887,-82.35754587
Martin County,Florida,Atlantic,"158,701",27.08161644,-80.39846395
Miami-Dade County,Florida,Atlantic,"2,712,945",25.60896749,-80.49866732
Monroe County,Florida,Gulf of Mexico,"79,077",25.04678033,-81.18569242
Nassau County,Florida,Atlantic,"80,622",30.6105781,-81.77141791
Okaloosa County,Florida,Gulf of Mexico,"201,170",30.66502972,-86.59217508
Palm Beach County,Florida,Atlantic,"1,443,810",26.64756457,-80.43651105
Pasco County,Florida,Gulf of Mexico,"512,368",28.30674191,-82.4388698
Pinellas County,Florida,Gulf of Mexico,"960,730",27.9026762,-82.73955395
St. Johns County,Florida,Atlantic,"235,087",29.91218117,-81.40988668
St. Lucie County,Florida,Atlantic,"306,507",27.38086642,-80.44560308
Santa Rosa County,Florida,Gulf of Mexico,"170,497",30.69290403,-87.01844949
Sarasota County,Florida,Gulf of Mexico,"412,569",27.18247781,-82.36497352
Taylor County,Florida,Gulf of Mexico,"22,175",30.01956661,-83.61897265
Volusia County,Florida,Atlantic,"529,364",29.06344751,-81.14857436
Wakulla County,Florida,Gulf of Mexico,"31,893",30.14777198,-84.37560749
Walton County,Florida,Gulf of Mexico,"65,889",30.61846885,-86.17151631
Bryan County,Georgia,Atlantic,"36,230",32.01322434,-81.44247222
Camden County,Georgia,Atlantic,"53,008",30.9224883,-81.63638494
Chatham County,Georgia,Atlantic,"289,082",31.97395112,-81.09397031
Glynn County,Georgia,Atlantic,"84,502",31.21324181,-81.49369759
Liberty County,Georgia,Atlantic,"62,570",31.80722886,-81.45625569
McIntosh County,Georgia,Atlantic,"13,927",31.48380621,-81.37556637
Cameron Parish,Louisiana,Gulf of Mexico,"6,882",29.84687197,-93.19889648
Iberia Parish,Louisiana,Gulf of Mexico,"73,273",29.75649985,-91.76305555
Jefferson Parish,Louisiana,Gulf of Mexico,"436,523",29.67745858,-90.0977654
Lafourche Parish,Louisiana,Gulf of Mexico,"98,305",29.50033224,-90.40259453
Orleans Parish,Louisiana,Gulf of Mexico,"391,495",30.0686437,-89.92812792
Plaquemines Parish,Louisiana,Gulf of Mexico,"23,464",29.38066207,-89.48191506
St. Bernard Parish,Louisiana,Gulf of Mexico,"45,688",29.90472573,-89.30412736
St. Mary Parish,Louisiana,Gulf of Mexico,"52,093",29.63462339,-91.47292635
St. Tammany Parish,Louisiana,Gulf of Mexico,"253,602",30.40784295,-89.95463322
Terrebonne Parish,Louisiana,Gulf of Mexico,"113,220",29.33744189,-90.83763991
Vermilion Parish,Louisiana,Gulf of Mexico,"60,205",29.80938932,-92.30428295
Cumberland County,Maine,Atlantic,"292,041",43.80608211,-70.33020063
Hancock County,Maine,Atlantic,"54,419",44.56288676,-68.36820797
Knox County,Maine,Atlantic,"39,744",44.02729874,-69.01554749
Lincoln County,Maine,Atlantic,"34,216",43.99778733,-69.52575926
Sagadahoc County,Maine,Atlantic,"35,273",43.91172689,-69.83930896
Waldo County,Maine,Atlantic,"39,364",44.48524694,-69.12188078
Washington County,Maine,Atlantic,"31,450",44.9694591,-67.60905949
York County,Maine,Atlantic,"202,343",43.4292262,-70.67014607
Anne Arundel County,Maryland,Atlantic,"568,346",38.99415716,-76.56759706
Baltimore County,Maryland,Atlantic,"831,026",39.30097971,-76.61064691
Calvert County,Maryland,Atlantic,"91,251",38.534712,-76.53056447
Cecil County,Maryland,Atlantic,"102,603",39.56242025,-75.94810697
Charles County,Maryland,Atlantic,"157,705",38.47368123,-77.0134841
Dorchester County,Maryland,Atlantic,"32,258",38.42260804,-76.08332531
Harford County,Maryland,Atlantic,"251,032",41.80642879,-72.73281225
Kent County,Maryland,Atlantic,"19,730",39.23560389,-76.0958206
Queen Anne's County,Maryland,Atlantic,"48,929",39.03762841,-76.08503601
St. Mary's County,Maryland,Atlantic,"112,587",38.2158624,-76.52906066
Somerset County,Maryland,Atlantic,"25,928",38.08006612,-75.85347058
Talbot County,Maryland,Atlantic,"37,278",38.74910018,-76.17861706
Wicomico County,Maryland,Atlantic,"102,577",38.36941028,-75.63153108
Worcester County,Maryland,Atlantic,"51,444",38.21649998,-75.29667082
Baltimore city,Maryland,Atlantic,"614,664",39.30097971,-76.61064691
Barnstable County,Massachusetts,Atlantic,"214,276",41.77344927,-70.23813749
Bristol County,Massachusetts,Atlantic,"558,324",41.75708821,-71.08850086
Dukes County,Massachusetts,Atlantic,"17,246",41.38877474,-70.69877158
Essex County,Massachusetts,Atlantic,"779,018",42.63891538,-70.86791996
Nantucket County,Massachusetts,Atlantic,"11,008",41.28347,-70.099451
Norfolk County,Massachusetts,Atlantic,"697,181",42.17098063,-71.18382918
Plymouth County,Massachusetts,Atlantic,"513,565",41.98743577,-70.73707593
Suffolk County,Massachusetts,Atlantic,"784,230",42.34868939,-70.98560967
Hancock County,Mississippi,Gulf of Mexico,"46,791",30.39377981,-89.47456209
Harrison County,Mississippi,Gulf of Mexico,"203,234",30.41604967,-89.08164269
Jackson County,Mississippi,Gulf of Mexico,"141,241",30.46288758,-88.62284158
Rockingham County,New Hampshire,Atlantic,"303,251",42.98459793,-71.08905934
Atlantic County,New Jersey,Atlantic,"270,991",39.46882951,-74.63373043
Cape May County,New Jersey,Atlantic,"94,430",39.08509811,-74.84997701
Cumberland County,New Jersey,Atlantic,"153,797",39.32809858,-75.12931827
Essex County,New Jersey,Atlantic,"796,914",40.78721478,-74.24706015
Hudson County,New Jersey,Atlantic,"677,983",40.730905,-74.07595544
Middlesex County,New Jersey,Atlantic,"837,073",40.44008366,-74.40883565
Monmouth County,New Jersey,Atlantic,"625,846",40.28751735,-74.15820239
Ocean County,New Jersey,Atlantic,"592,497",39.8659325,-74.24991593
Salem County,New Jersey,Atlantic,"63,436",39.57677517,-75.35798569
Union County,New Jersey,Atlantic,"555,630",40.65989941,-74.30814142
Bronx County,New York,Atlantic,"1,455,720",40.84920965,-73.85306957
Kings County,New York,Atlantic,"2,629,150",40.63435129,-73.95020459
Nassau County,New York,Atlantic,"1,361,500",40.73214216,-73.58553667
New York County,New York,Atlantic,"1,643,734",40.77416187,-73.96979712
Queens County,New York,Atlantic,"2,333,054",40.65751347,-73.83880302
Richmond County,New York,Atlantic,"476,015",40.56232814,-74.13827305
Suffolk County,New York,Atlantic,"1,492,583",40.94046106,-72.68524126
Westchester County,New York,Atlantic,"974,542",41.15148119,-73.75339068
Beaufort County,North Carolina,Atlantic,"47,526",35.48698382,-76.84531441
Bertie County,North Carolina,Atlantic,"19,854",36.0656302,-76.96671214
Brunswick County,North Carolina,Atlantic,"126,953",36.7647499,-77.85902996
Camden County,North Carolina,Atlantic,"10,418",36.34112162,-76.1609504
Carteret County,North Carolina,Atlantic,"68,890",34.86125981,-76.53574307
Chowan County,North Carolina,Atlantic,"14,383",36.12656154,-76.60213037
Craven County,North Carolina,Atlantic,"103,445",35.11768582,-77.08200384
Currituck County,North Carolina,Atlantic,"25,809",36.36729948,-75.9369492
Dare County,North Carolina,Atlantic,"35,964",35.66493669,-75.68523331
Hyde County,North Carolina,Atlantic,"5,517",35.40811874,-76.14496511
New Hanover County,North Carolina,Atlantic,"223,483",34.18155534,-77.86559757
Onslow County,North Carolina,Atlantic,"187,136",34.70983636,-77.41576582
Pamlico County,North Carolina,Atlantic,"12,821",35.15102123,-76.66945984
Pasquotank County,North Carolina,Atlantic,"39,864",36.26501872,-76.24924136
Pender County,North Carolina,Atlantic,"59,090",34.51509975,-77.88843558
Perquimans County,North Carolina,Atlantic,"13,335",36.17722285,-76.40761999
Tyrrell County,North Carolina,Atlantic,"4,141",35.869407,-76.17045236
Washington County,North Carolina,Atlantic,"12,195",35.83926464,-76.56930989
Clatsop County,Oregon,Pacific,"38,632",46.01752615,-123.7169992
Coos County,Oregon,Pacific,"63,761",43.18516215,-124.0933188
Curry County,Oregon,Pacific,"22,713",42.5441,-124.2782
Douglas County,Oregon,Pacific,"108,457",43.28534624,-123.1795569
Lane County,Oregon,Pacific,"369,519",43.9416929,-122.8762139
Lincoln County,Oregon,Pacific,"47,806",44.64584363,-123.9076547
Tillamook County,Oregon,Pacific,"26,143",45.4566725,-123.7586647
Bristol County,Rhode Island,Atlantic,"49,067",41.70551774,-71.28607125
Kent County,Rhode Island,Atlantic,"164,614",41.67335456,-71.57902186
Newport County,Rhode Island,Atlantic,"82,784",41.49981093,-71.2809787
Providence County,Rhode Island,Atlantic,"633,673",41.87136841,-71.57852018
Washington County,Rhode Island,Atlantic,"126,288",41.39649561,-71.61965744
Beaufort County,South Carolina,Atlantic,"183,149",32.35704821,-80.69219893
Charleston County,South Carolina,Atlantic,"396,484",32.82504349,-79.89681922
Colleton County,South Carolina,Atlantic,"37,923",32.84342616,-80.64968432
Georgetown County,South Carolina,Atlantic,"61,399",33.41282518,-79.2991977
Horry County,South Carolina,Atlantic,"322,342",33.90461095,-78.97613745
Jasper County,South Carolina,Atlantic,"28,465",32.42058411,-81.02211376
Aransas County,Texas,Gulf of Mexico,"25,721",28.08472041,-96.99143873
Brazoria County,Texas,Gulf of Mexico,"354,195",29.16783184,-95.4342548
Calhoun County,Texas,Gulf of Mexico,"21,965",28.43910927,-96.61507367
Cameron County,Texas,Gulf of Mexico,"422,135",26.15134127,-97.45296801
Chambers County,Texas,Gulf of Mexico,"39,899",29.70826099,-94.67137695
Galveston County,Texas,Gulf of Mexico,"329,431",29.37996694,-94.86267174
Harris County,Texas,Gulf of Mexico,"4,589,928",29.8572816,-95.3923371
Jackson County,Texas,Gulf of Mexico,"14,869",28.95424423,-96.57768091
Jefferson County,Texas,Gulf of Mexico,"254,679",29.85372892,-94.15343946
Kenedy County,Texas,Gulf of Mexico,404,26.92802288,-97.63646116
Kleberg County,Texas,Gulf of Mexico,"31,690",27.42671082,-97.66838777
Matagorda County,Texas,Gulf of Mexico,"37,187",28.78565055,-96.00398076
Nueces County,Texas,Gulf of Mexico,"361,350",27.73503476,-97.51625385
Refugio County,Texas,Gulf of Mexico,"7,321",28.3215753,-97.15952146
San Patricio County,Texas,Gulf of Mexico,"67,655",28.00878307,-97.51827401
Victoria County,Texas,Gulf of Mexico,"92,467",28.79635149,-96.97152528
Willacy County,Texas,Gulf of Mexico,"21,810",26.47696634,-97.59165763
Accomack County,Virginia,Atlantic,"32,947",37.76493905,-75.75655708
Essex County,Virginia,Atlantic,"11,123",37.93906931,-76.94088528
Fairfax County,Virginia,Atlantic,"1,138,652",38.85309834,-77.29978807
Gloucester County,Virginia,Atlantic,"37,214",37.40120863,-76.52296674
Isle of Wight County,Virginia,Atlantic,"36,596",36.90672914,-76.70912648
James City County,Virginia,Atlantic,"74,404",37.3133053,-76.77380009
King George County,Virginia,Atlantic,"25,984",38.27372747,-77.1564527
Lancaster County,Virginia,Atlantic,"10,972",37.70171522,-76.42022981
Mathews County,Virginia,Atlantic,"8,782",37.41731089,-76.27128653
Middlesex County,Virginia,Atlantic,"10,778",37.62270777,-76.50591334
Northampton County,Virginia,Atlantic,"12,139",37.30078434,-75.92854185
Northumberland County,Virginia,Atlantic,"12,222",37.85466327,-76.37952123
Prince William County,Virginia,Atlantic,"455,210",38.70168554,-77.47761935
Richmond County,Virginia,Atlantic,"8,774",37.93705905,-76.72968728
Stafford County,Virginia,Atlantic,"144,361",38.42071902,-77.45740039
Surry County,Virginia,Atlantic,"6,544",37.11691216,-76.88830957
Westmoreland County,Virginia,Atlantic,"17,592",38.112805,-76.79986333
York County,Virginia,Atlantic,"67,976",37.23805157,-76.44253516
Hampton city,Virginia,Atlantic,"135,410",37.04876944,-76.295403
Newport News city,Virginia,Atlantic,"181,825",37.0760436,-76.51645538
Norfolk city,Virginia,Atlantic,"245,115",42.17098063,-71.18382918
Poquoson city,Virginia,Atlantic,"12,017",37.15026972,-76.27056238
Portsmouth city,Virginia,Atlantic,"95,252",36.85900078,-76.35670862
Suffolk city,Virginia,Atlantic,"89,273",36.70184327,-76.634046
Virginia Beach city,Virginia,Atlantic,"452,602",36.77776323,-76.01632814
Clallam County,Washington,Pacific,"74,570",48.327922,-124.389467
Grays Harbor County,Washington,Pacific,"71,628",47.14440907,-123.8286208
Island County,Washington,Pacific,"82,636",48.16289704,-122.575263
Jefferson County,Washington,Pacific,"31,139",47.7425,-123.304
King County,Washington,Pacific,"2,149,970",47.49092319,-121.8359517
Kitsap County,Washington,Pacific,"264,811",47.6396466,-122.6491764
Mason County,Washington,Pacific,"62,198",47.35053514,-123.1830098
Pacific County,Washington,Pacific,"21,249",46.55142531,-123.7796674
Pierce County,Washington,Pacific,"861,312",47.03760544,-122.1372228
San Juan County,Washington,Pacific,"16,339",48.56318547,-122.9775124
Skagit County,Washington,Pacific,"123,681",48.48207611,-121.8016068
Snohomish County,Washington,Pacific,"787,620",48.04609535,-121.7223467
Wahkiakum County,Washington,Pacific,"4,139",46.29113381,-123.4334699
Whatcom County,Washington,Pacific,"216,800",48.82961587,-121.8728213
